산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3470023,2169749,1300274,18093127,10609183,7483944,3286595,12885193,41617,2145797,141811,3062137,3621863,11344756,2297372,829136,2879668,5211805,316658,2068261,148972,1968751,82537,2468511,26179,1798728,12675,1975546,1684,635807,1112,753306,538,1212412
농업임업및어업,2363,2161,202,31235,23366,7869,1815,19643,123,3002,425,8590,16,21899,6347,2973,886,2040,573,3978,479,6354,326,9416,73,5113,25,3541,0,0,1,0,0,0
광업,1781,1603,178,15428,13469,1959,1613,9775,52,1812,116,3841,1989,12092,1168,179,1209,2968,217,1470,203,2773,125,3628,20,1360,3,483,1,0,3,2361,0,0
제조업,351346,286905,64441,3625989,2671263,954726,332673,2250526,8015,580518,10658,794945,348311,3013600,249178,14900,228504,473846,59617,400745,31839,427311,21385,639381,6020,413753,3335,524591,329,123978,196,132284,121,490100
전기가스증기및공기조절공급업,985,953,32,51676,45081,6595,237,2222,65,10456,683,38998,60,50733,822,61,324,861,161,1100,62,873,194,6557,147,10297,67,11944,16,5838,9,6050,5,8156
수도하수및폐기물처리원료재생업,6520,5746,774,87804,74679,13125,5577,67914,274,7008,669,12882,2299,78837,6100,568,2664,6652,1493,9957,1126,15507,937,28397,227,15173,71,10524,1,0,0,0,1,0
건설업,106059,91258,14801,1117786,982166,135620,100020,853892,3379,198349,2660,65545,67522,575186,453625,21453,61775,126128,22203,148006,12906,171072,6239,183273,1619,108958,988,155205,165,60692,115,79449,49,85003
도매및소매업,901399,536012,365387,2689305,1452492,1236813,852411,2094076,9433,196597,39555,398632,1044395,1189996,290358,164556,808705,1475667,60271,385303,21300,277738,8529,242044,1614,111251,845,128977,95,34720,32,20985,8,12620
운수및창고업,354142,336689,17453,998457,885895,112562,344608,712348,2202,135056,7332,151053,336823,542915,42184,76535,335682,366509,7095,46925,4777,64140,3654,110843,1491,104034,1286,204022,102,38523,44,28823,11,34638
숙박및음식점업,654892,231624,423268,1834978,639475,1195503,645239,1680139,837,23238,8816,131601,932091,418283,461402,23202,594565,1245204,45825,290604,10927,137995,2897,85170,514,34570,133,21450,13,5209,14,10096,4,4680
정보통신업,29902,25513,4389,476412,339406,137006,26054,297043,1338,111737,2510,67632,10596,426689,28968,10159,14844,34214,6684,43784,3862,51182,2797,85948,970,67201,591,94889,92,34352,43,27841,19,37001
금융및보험업,40814,35941,4873,726870,331360,395510,9594,70106,3639,170389,27581,486375,5726,440125,21816,259203,10963,25699,9646,68101,11133,146324,6935,213383,1537,98628,440,64982,84,32618,49,34128,27,43007
부동산업,117682,80798,36884,417280,275177,142103,112435,339793,1226,34431,4021,43056,97666,268556,30176,20882,98382,161418,11581,76030,5350,69712,1969,55926,260,17550,107,16367,18,6612,12,8629,3,5036
전문과학및기술서비스업,76792,67770,9022,788454,549445,239009,65993,405009,4176,227031,6623,156414,53246,686314,41753,7141,48076,110350,16271,104835,6732,88834,3683,109584,1082,74914,701,115915,121,45592,84,55954,42,82476
사업시설관리사업지원및임대서비스업,52823,38803,14020,848917,461248,387669,43222,517570,2625,169538,6976,161809,32847,633117,141775,41178,35521,70528,6301,41047,4207,56477,3808,116400,1376,94694,1141,188569,252,95737,175,117413,42,68052
공공행정국방및사회보장행정,11903,11374,529,636419,451722,184697,11750,627982,26,5013,127,3424,2,571180,62956,2281,1909,3660,1536,11256,3805,54630,2730,81053,774,51265,667,112933,216,82646,188,127940,78,111036
교육서비스업,170575,79220,91355,1438462,546550,891912,161199,1052815,1464,147110,7912,238537,151847,982976,208664,94975,130179,234427,16725,109033,9257,124956,7225,224881,5902,415467,1053,135163,95,37125,81,56142,58,101268
보건업및사회복지서비스업,114578,65025,49553,1159592,256538,903054,108451,868991,1171,82140,4956,208461,96540,952519,88735,21798,61544,190488,31679,204476,13107,169452,5444,165129,1802,123903,819,124291,59,22530,58,39378,66,119945
예술스포츠및여가관련서비스업,103675,60743,42932,332939,181530,151409,102229,280940,293,18784,1153,33215,122149,111064,77663,22063,95943,169532,4533,28947,1592,20963,1003,30679,301,21049,275,42949,18,6615,6,3994,4,8211
협회및단체수리및기타개인서비스업,371792,211611,160181,815124,428321,386803,361475,734409,1279,23588,9038,57127,317738,368675,83682,45029,347993,511614,14247,92664,6308,82458,2657,76819,450,29548,128,18751,7,2224,2,0,0,0
