산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4176549,2568460,1608089,22723272,12854045,9869227,3899713,15804807,58413,2812683,218423,4105782,4061181,14686373,2996684,979034,3322812,6041327,511446,3239687,187627,2468285,102986,3057377,32315,2216668,15232,2398379,2102,796079,1310,900397,719,1605073
농업임업및어업,4522,3856,666,43920,31887,12033,3570,26524,241,5245,711,12151,0,33955,6625,3340,2355,5119,1103,7322,567,7418,375,11213,87,6257,32,4809,2,0,0,0,1,0
광업,1776,1562,214,14887,12859,2028,1553,8935,74,1990,149,3962,1595,12192,907,193,1196,2519,205,1389,185,2555,160,4677,24,1596,3,560,2,0,1,0,0,0
제조업,440766,346835,93931,4123817,3070642,1053175,409579,2535170,12911,717265,18276,871382,392661,3443010,262074,26072,277958,584984,92913,624885,34026,454369,25095,749185,6695,457607,3395,539547,369,140155,196,133480,119,439605
전기가스증기및공기조절공급업,3119,2502,617,67526,56390,11136,2211,6964,94,12011,814,48551,952,65775,690,109,2168,3078,279,1752,134,1790,227,7732,190,13327,85,14596,22,8448,6,4148,8,12655
수도하수및폐기물처리원료재생업,9423,7816,1607,114085,95743,18342,7811,80667,411,11018,1201,22400,3388,104682,5556,459,4471,10260,1982,12926,1383,18665,1200,37502,296,20053,88,12678,2,0,0,0,1,0
건설업,146293,117387,28906,1504466,1292984,211482,138612,1187288,3616,220716,4065,96462,92818,667073,688344,56231,73904,167350,40652,267421,20326,265646,8024,231185,1849,124291,1166,188879,196,71055,118,79399,58,109240
도매및소매업,1028323,603098,425225,3289652,1752262,1537390,953382,2467485,13400,297329,61541,524838,1084229,1676672,364072,164679,892382,1651276,94813,586164,26949,350225,10928,313045,2106,142570,981,150439,111,42226,38,28924,15,24783
운수및창고업,409288,380369,28919,1155965,999530,156435,396942,800646,2176,136271,10170,219048,382533,598395,59736,115301,385367,423315,9510,61597,6343,84746,4679,142124,1914,132783,1322,203501,95,34572,41,28225,17,45102
숙박및음식점업,785706,315323,470383,2384828,893742,1491086,760302,2106763,2155,34344,23249,243721,1075239,705039,587012,17538,668943,1416720,94479,560240,17880,220001,3620,102032,595,37777,144,23087,23,8794,18,11931,4,4246
정보통신업,45303,36894,8409,606964,416537,190427,40102,359020,1761,148570,3440,99374,15239,551663,29569,10493,27911,56306,7843,50461,4315,58137,3114,94009,1162,79792,755,123270,122,46175,57,37179,24,61635
금융및보험업,43555,35626,7929,715399,316942,398457,12800,78346,3327,181755,27428,455298,6379,466835,16190,225995,14822,33618,10682,73027,10003,133222,5944,184138,1495,96239,440,69000,77,29222,57,38152,35,58781
부동산업,168481,107062,61419,537841,339655,198186,156704,401527,2038,46742,9739,89572,123558,359172,30946,24165,142038,222031,17379,105365,6517,81423,2027,56772,313,20559,165,25178,26,9291,11,7510,5,9712
전문과학및기술서비스업,118129,98201,19928,1132049,758472,373577,100855,543944,6397,311777,10877,276328,72260,999183,51973,8633,77920,164089,23672,147631,8900,117738,4892,143570,1492,101881,892,145328,191,73187,116,77685,54,160940
사업시설관리사업지원및임대서비스업,73282,51525,21757,1192036,643430,548606,61263,589551,3078,358056,8941,244429,42748,917381,179770,52137,50566,111943,9501,63902,5127,70491,4404,133409,1657,115022,1373,236566,312,118624,242,167257,100,174822
공공행정국방및사회보장행정,12570,11370,1200,768733,488167,280566,12255,753775,47,9181,268,5777,0,698552,67638,2543,1693,3258,1510,10819,2908,43089,4002,116004,1119,76543,807,132199,228,89076,199,140132,104,157613
교육서비스업,193790,82756,111034,1672443,604163,1068280,181401,1212670,2128,131787,10261,327986,167294,1140790,245560,118799,142862,261545,24360,153109,9880,134839,8696,267030,6495,460209,1212,157652,121,46522,95,65944,69,125593
보건업및사회복지서비스업,150659,81755,68904,2033034,386832,1646202,138805,1482838,2123,127610,9731,422586,113295,1630506,219909,69324,60091,172245,50501,323533,22646,300031,11298,339495,3935,268925,1819,288672,168,63153,104,72961,97,204019
예술스포츠및여가관련서비스업,124621,70752,53869,458555,236176,222379,120449,370509,693,29163,3479,58883,135040,182072,102511,38932,108189,191605,11183,69494,2935,37901,1456,43046,437,30953,378,57255,29,10941,7,4305,7,13055
협회및단체수리및기타개인서비스업,416943,213771,203172,907072,457632,449440,401117,792185,1743,31853,14083,83034,351953,433426,77602,44091,387976,560066,18879,118650,6603,85999,2845,81209,454,30284,175,25163,6,2186,4,2494,1,0
